datetime_EST,datetime_EST2,W9_Precipitation_mm,api_30d,Event
9/11/2018 11:00,2018-09-11T05:30:00Z,0,9.911804072949801,3
9/11/2018 12:00,2018-09-11T06:30:00Z,1.76,8.920623665654825,3
9/11/2018 13:00,2018-09-11T07:30:00Z,0,9.78856129908934,3
9/21/2018 6:00,2018-09-21T00:30:00Z,0,0,4
9/21/2018 7:00,2018-09-21T01:30:00Z,0.103,0,4
9/21/2018 8:00,2018-09-21T02:30:00Z,5.371,0.103,4
9/21/2018 9:00,2018-09-21T03:30:00Z,1.24,5.4637,4
9/21/2018 10:00,2018-09-21T04:30:00Z,4.958,6.157330000000001,4
9/21/2018 11:00,2018-09-21T05:30:00Z,0.723,10.499597000000001,4
9/21/2018 12:00,2018-09-21T06:30:00Z,0,10.172637300000002,4
9/21/2018 13:00,2018-09-21T07:30:00Z,0,9.155373570000002,4
9/21/2018 14:00,2018-09-21T08:30:00Z,0,8.239836213000002,4
9/21/2018 15:00,2018-09-21T09:30:00Z,0.31,7.415852591700001,4
9/21/2018 16:00,2018-09-21T10:30:00Z,0.93,6.984267332530001,4
9/21/2018 17:00,2018-09-21T11:30:00Z,0,7.2158405992770005,4
9/21/2018 18:00,2018-09-21T12:30:00Z,0.207,6.494256539349302,4
9/21/2018 19:00,2018-09-21T13:30:00Z,0,6.051830885414372,4
9/21/2018 20:00,2018-09-21T14:30:00Z,0,5.446647796872935,4
9/21/2018 21:00,2018-09-21T15:30:00Z,0,4.901983017185642,4
9/21/2018 22:00,2018-09-21T16:30:00Z,0.93,4.411784715467077,4
9/21/2018 23:00,2018-09-21T17:30:00Z,0.723,4.900606243920369,4
9/22/2018 0:00,2018-09-21T18:30:00Z,1.172,5.133545619528332,4
9/22/2018 1:00,2018-09-21T19:30:00Z,0,5.792191057575499,4
9/25/2018 9:00,2018-09-25T03:30:00Z,0,0,5
9/25/2018 10:00,2018-09-25T04:30:00Z,0.196,0,5
9/25/2018 11:00,2018-09-25T05:30:00Z,1.859,0.196,5
9/25/2018 12:00,2018-09-25T06:30:00Z,1.272,2.0354,5
9/25/2018 13:00,2018-09-25T07:30:00Z,3.13,3.10386,5
9/25/2018 14:00,2018-09-25T08:30:00Z,3.326,5.923474000000001,5
9/25/2018 15:00,2018-09-25T09:30:00Z,0.783,8.6571266,5
9/25/2018 16:00,2018-09-25T10:30:00Z,0.88,8.574413940000001,5
9/25/2018 17:00,2018-09-25T11:30:00Z,2.446,8.596972546,5
9/25/2018 18:00,2018-09-25T12:30:00Z,0.391,10.1832752914,5
9/25/2018 19:00,2018-09-25T13:30:00Z,0,9.55594776226,5
9/25/2018 20:00,2018-09-25T14:30:00Z,0,8.600352986034002,5
9/25/2018 21:00,2018-09-25T15:30:00Z,0,7.740317687430601,5
9/25/2018 22:00,2018-09-25T16:30:00Z,0,6.966285918687542,5
9/25/2018 23:00,2018-09-25T17:30:00Z,0.196,6.269657326818788,5
9/26/2018 0:00,2018-09-25T18:30:00Z,0,5.838691594136909,5
9/26/2018 1:00,2018-09-25T19:30:00Z,0.297,5.254822434723218,5
9/26/2018 2:00,2018-09-25T20:30:00Z,0.099,5.026340191250895,5
9/26/2018 3:00,2018-09-25T21:30:00Z,0,4.622706172125807,5
9/26/2018 4:00,2018-09-25T22:30:00Z,0,4.160435554913227,5
9/26/2018 5:00,2018-09-25T23:30:00Z,0,3.7443919994219037,5
9/26/2018 6:00,2018-09-26T00:30:00Z,0.099,3.369952799479714,5
9/26/2018 7:00,2018-09-26T01:30:00Z,0.198,3.1319575195317424,5
9/26/2018 8:00,2018-09-26T02:30:00Z,0,3.0167617675785676,5
9/26/2018 9:00,2018-09-26T03:30:00Z,0,2.7150855908207103,5
9/26/2018 10:00,2018-09-26T04:30:00Z,0,2.44357703173864,5
9/26/2018 11:00,2018-09-26T05:30:00Z,0,2.1992193285647765,5
9/26/2018 12:00,2018-09-26T06:30:00Z,0.099,1.9792973957082987,5
9/26/2018 13:00,2018-09-26T07:30:00Z,0,1.880367656137469,5
9/26/2018 14:00,2018-09-26T08:30:00Z,0,1.6923308905237218,5
9/26/2018 15:00,2018-09-26T09:30:00Z,0.494,1.5230978014713499,5
9/26/2018 16:00,2018-09-26T10:30:00Z,0.692,1.8647880213242147,5
9/26/2018 17:00,2018-09-26T11:30:00Z,10.185,2.3620005521698513,5
9/26/2018 18:00,2018-09-26T12:30:00Z,0.494,12.23199533371924,5
9/26/2018 19:00,2018-09-26T13:30:00Z,0.099,11.44887424702124,5
9/26/2018 20:00,2018-09-26T14:30:00Z,0.099,10.270302496917688,5
9/26/2018 21:00,2018-09-26T15:30:00Z,0.099,9.201279254802554,5
9/26/2018 22:00,2018-09-26T16:30:00Z,0,8.346959052392803,5
10/2/2018 0:00,2018-10-01T18:30:00Z,0,1.8097025736528163,6
10/2/2018 1:00,2018-10-01T19:30:00Z,0.197,1.628732316287535,6
10/2/2018 2:00,2018-10-01T20:30:00Z,1.183,1.6628590846587814,6
10/2/2018 3:00,2018-10-01T21:30:00Z,1.084,2.6795731761929034,6
10/2/2018 4:00,2018-10-01T22:30:00Z,2.169,3.495615858573613,6
10/2/2018 5:00,2018-10-01T23:30:00Z,0.789,5.315054272716251,6
10/2/2018 6:00,2018-10-02T00:30:00Z,0.099,5.572548845444627,6
10/2/2018 7:00,2018-10-02T01:30:00Z,0,5.114293960900164,6
10/2/2018 8:00,2018-10-02T02:30:00Z,0.296,4.602864564810148,6
10/2/2018 9:00,2018-10-02T03:30:00Z,0.394,4.430396614782016,6
10/2/2018 10:00,2018-10-02T04:30:00Z,0.592,4.356812472662464,6
10/2/2018 11:00,2018-10-02T05:30:00Z,2.76,4.468111815307939,6
10/2/2018 12:00,2018-10-02T06:30:00Z,1.183,6.748574659588678,6
10/2/2018 13:00,2018-10-02T07:30:00Z,1.38,7.1789718093530634,6
10/2/2018 14:00,2018-10-02T08:30:00Z,1.873,7.771510737688128,6
10/2/2018 15:00,2018-10-02T09:30:00Z,1.479,8.810089209089499,6
10/2/2018 16:00,2018-10-02T10:30:00Z,0,9.379423865186501,6
10/2/2018 17:00,2018-10-02T11:30:00Z,2.07,8.396462068579574,6
10/2/2018 18:00,2018-10-02T12:30:00Z,2.76,9.614522425821802,6
10/2/2018 19:00,2018-10-02T13:30:00Z,0.493,11.408958240886927,6
10/2/2018 20:00,2018-10-02T14:30:00Z,0.296,10.756950474445539,6
10/2/2018 21:00,2018-10-02T15:30:00Z,0,9.977255427000983,6
10/2/2018 22:00,2018-10-02T16:30:00Z,0,8.979529884300888,6
10/2/2018 23:00,2018-10-02T17:30:00Z,0.493,8.081576895870798,6
10/3/2018 0:00,2018-10-02T18:30:00Z,0.098,7.766419206283719,6
10/3/2018 1:00,2018-10-02T19:30:00Z,0,7.0877772856553465,6
10/3/2018 2:00,2018-10-02T20:30:00Z,0.391,6.378999557089812,6
10/3/2018 3:00,2018-10-02T21:30:00Z,0.586,6.1320996013808315,6
10/3/2018 4:00,2018-10-02T22:30:00Z,0,6.104889641242749,6
10/3/2018 5:00,2018-10-02T23:30:00Z,0.293,5.494400677118474,6
10/3/2018 6:00,2018-10-03T00:30:00Z,0.293,5.237960609406627,6
10/3/2018 7:00,2018-10-03T01:30:00Z,0.098,5.007164548465964,6
10/3/2018 8:00,2018-10-03T02:30:00Z,0.293,4.59609703543915,6
10/3/2018 9:00,2018-10-03T03:30:00Z,0,4.379338591655655,6
10/3/2018 10:00,2018-10-03T04:30:00Z,0,3.895452716919755,6
10/3/2018 11:00,2018-10-03T05:30:00Z,0,3.4139610229288353,6
10/3/2018 12:00,2018-10-03T06:30:00Z,0,3.0391182967568064,6
10/3/2018 13:00,2018-10-03T07:30:00Z,0,2.7310097424118793,6
10/3/2018 14:00,2018-10-03T08:30:00Z,0,2.4579087681706913,6
10/3/2018 15:00,2018-10-03T09:30:00Z,0.098,2.199570108504158,6
10/3/2018 16:00,2018-10-03T10:30:00Z,1.563,2.0609109812933073,6
10/3/2018 17:00,2018-10-03T11:30:00Z,0.098,3.3927243174650483,6
10/3/2018 18:00,2018-10-03T12:30:00Z,0,3.034452288878947,6
10/11/2018 4:00,2018-10-10T22:30:00Z,0,0.10254230640507105,7
10/11/2018 5:00,2018-10-10T23:30:00Z,0.1,0.09228807576456394,7
10/11/2018 6:00,2018-10-11T00:30:00Z,3.303,0.18305926818810755,7
10/11/2018 7:00,2018-10-11T01:30:00Z,4.804,3.467753341369297,7
10/11/2018 8:00,2018-10-11T02:30:00Z,1.001,7.924978007232367,7
10/11/2018 9:00,2018-10-11T03:30:00Z,0.3,8.13348020650913,7
10/11/2018 10:00,2018-10-11T04:30:00Z,0.701,7.620132185858218,7
10/11/2018 11:00,2018-10-11T05:30:00Z,2.302,7.559118967272396,7
10/11/2018 12:00,2018-10-11T06:30:00Z,1.802,9.105207070545156,7
10/11/2018 13:00,2018-10-11T07:30:00Z,0.4,9.99668636349064,7
10/11/2018 14:00,2018-10-11T08:30:00Z,0.4,9.397017727141577,7
10/11/2018 15:00,2018-10-11T09:30:00Z,1.702,8.850151848678907,7
10/11/2018 16:00,2018-10-11T10:30:00Z,2.302,9.667136663811018,7
10/11/2018 17:00,2018-10-11T11:30:00Z,0.3,11.002422997429916,7
10/11/2018 18:00,2018-10-11T12:30:00Z,3.603,10.202180697686925,7
10/11/2018 19:00,2018-10-11T13:30:00Z,0.601,12.784962627918231,7
10/11/2018 20:00,2018-10-11T14:30:00Z,0,12.096699010924503,7
10/11/2018 21:00,2018-10-11T15:30:00Z,0,10.883425861378662,7
10/11/2018 22:00,2018-10-11T16:30:00Z,0,9.795083275240795,7
10/11/2018 23:00,2018-10-11T17:30:00Z,0,8.815574947716716,7
10/12/2018 0:00,2018-10-11T18:30:00Z,0.27,7.934017452945045,7
10/12/2018 1:00,2018-10-11T19:30:00Z,0.721,7.410615707650541,7
10/12/2018 2:00,2018-10-11T20:30:00Z,0,7.390554136885487,7
11/1/2018 10:00,2018-11-01T04:30:00Z,0,0.5576561068642425,8
11/1/2018 11:00,2018-11-01T05:30:00Z,0.131,0.49909267973165394,8
11/1/2018 12:00,2018-11-01T06:30:00Z,0.197,0.5801834117584886,8
11/1/2018 13:00,2018-11-01T07:30:00Z,0.131,0.7191650705826398,8
