site,event_n,recession_n,Start_dt_EST,End_dt_EST,datetime_interval_EST,event_dur_sec,event_dur_num,notes
TF-B,1,TFB_E1_2,2018-07-26 13:30:00,2018-07-26 13:45:00,2018-07-26 13:30:00 EST--2018-07-26 13:45:00 EST,900s (~15 minutes),900,NA
TF-B,2,TFB_E2_1,2018-09-03 18:20:00,2018-09-03 19:15:00,2018-09-03 18:20:00 EST--2018-09-03 19:15:00 EST,3300s (~55 minutes),3300,NA
TF-B,2,TFB_E2_2,2018-09-03 20:35:00,2018-09-03 21:20:00,2018-09-03 20:35:00 EST--2018-09-03 21:20:00 EST,2700s (~45 minutes),2700,NA
TF-B,3,TFB_E3_1,2018-09-11 01:10:00,2018-09-11 05:40:00,2018-09-11 01:10:00 EST--2018-09-11 05:40:00 EST,16200s (~4.5 hours),16200,NA
TF-B,4,TFB_E4_1,2018-09-21 08:25:00,2018-09-21 09:30:00,2018-09-21 08:25:00 EST--2018-09-21 09:30:00 EST,3900s (~1.08 hours),3900,NA
TF-B,4,TFB_E4_2,2018-09-21 10:10:00,2018-09-21 11:30:00,2018-09-21 10:10:00 EST--2018-09-21 11:30:00 EST,4800s (~1.33 hours),4800,NA
TF-B,4,TFB_E4_3,2018-09-21 22:35:00,2018-09-22 00:00:00,2018-09-21 22:35:00 EST--2018-09-22 00:00:00 EST,5100s (~1.42 hours),5100,NA
TF-B,5,TFB_E5_1,2018-09-25 11:45:00,2018-09-25 18:25:00,2018-09-25 11:45:00 EST--2018-09-25 18:25:00 EST,24000s (~6.67 hours),24000,NA
TF-B,5,TFB_E5_2,2018-09-26 16:45:00,2018-09-26 19:00:00,2018-09-26 16:45:00 EST--2018-09-26 19:00:00 EST,8100s (~2.25 hours),8100,NA
TF-B,6,TFB_E6_1,2018-10-02 03:05:00,2018-10-02 19:25:00,2018-10-02 03:05:00 EST--2018-10-02 19:25:00 EST,58800s (~16.33 hours),58800,NA
TF-B,7,TFB_E7_1,2018-10-11 05:55:00,2018-10-11 09:00:00,2018-10-11 05:55:00 EST--2018-10-11 09:00:00 EST,11100s (~3.08 hours),11100,NA
TF-B,7,TFB_E7_2,2018-10-11 11:35:00,2018-10-11 12:25:00,2018-10-11 11:35:00 EST--2018-10-11 12:25:00 EST,3000s (~50 minutes),3000,NA
