hobo_event_n,dt,site,yield_mm
1,2018-07-26T17:40:00Z,SFA,0.11914840427332117
1,2018-07-26T17:40:00Z,SFB,0.08114800207961116
1,2018-07-26T17:40:00Z,SFC,0.07472033999064477
1,2018-07-26T17:40:00Z,SFD,0.09509781237120682
1,2018-07-26T17:40:00Z,TFB,37.96335033313409
1,2018-07-26T17:40:00Z,TFD,39.37830880647685
1,2018-07-26T17:45:00Z,SFA,0.13036507532477146
1,2018-07-26T17:45:00Z,SFB,0.0907121645720171
1,2018-07-26T17:45:00Z,SFC,0.08591614505287087
1,2018-07-26T17:45:00Z,SFD,0.09836895076679378
1,2018-07-26T17:45:00Z,TFB,39.79104887530974
1,2018-07-26T17:45:00Z,TFD,40.865539761452794
1,2018-07-26T17:50:00Z,SFA,0.13839210693856074
1,2018-07-26T17:50:00Z,SFB,0.09820266236343128
1,2018-07-26T17:50:00Z,SFC,0.0948002034590015
1,2018-07-26T17:50:00Z,SFD,0.10018018626692071
1,2018-07-26T17:50:00Z,TFB,41.08439475342275
1,2018-07-26T17:50:00Z,TFD,41.90325035272142
1,2018-07-26T17:55:00Z,SFA,0.14499607312707835
1,2018-07-26T17:55:00Z,SFB,0.10523786037919133
1,2018-07-26T17:55:00Z,SFC,0.10334155763828326
1,2018-07-26T17:55:00Z,SFD,0.10002132589969026
1,2018-07-26T17:55:00Z,TFB,42.08549266561457
1,2018-07-26T17:55:00Z,TFD,42.62941673699278
1,2018-07-26T18:00:00Z,SFA,0.15079322040384927
1,2018-07-26T18:00:00Z,SFB,0.11183625843921749
1,2018-07-26T18:00:00Z,SFC,0.11155016092317115
1,2018-07-26T18:00:00Z,SFD,0.09910652328545295
1,2018-07-26T18:00:00Z,TFB,42.91371156612501
1,2018-07-26T18:00:00Z,TFD,43.18845708163897
1,2018-07-26T18:05:00Z,SFA,0.15639979528239847
1,2018-07-26T18:05:00Z,SFB,0.11801635636342986
1,2018-07-26T18:05:00Z,SFC,0.11943596664612015
1,2018-07-26T18:05:00Z,SFD,0.09864993204455924
1,2018-07-26T18:05:00Z,TFB,43.68842040919389
1,2018-07-26T18:05:00Z,TFD,43.72478955403211
1,2018-07-26T18:10:00Z,SFA,0.16243204427625105
1,2018-07-26T18:10:00Z,SFB,0.1237966539717486
1,2018-07-26T18:10:00Z,SFC,0.1270089281395852
1,2018-07-26T18:10:00Z,SFD,0.0998657057973596
1,2018-07-26T18:10:00Z,TFB,44.528988149061014
1,2018-07-26T18:10:00Z,TFD,44.38283232154426
1,2018-07-26T18:15:00Z,SFA,0.16837870082336182
1,2018-07-26T18:15:00Z,SFB,0.12863951725284758
1,2018-07-26T18:15:00Z,SFC,0.13371409015528243
1,2018-07-26T18:15:00Z,SFD,0.1035221718285944
1,2018-07-26T18:15:00Z,TFB,45.32447801453505
1,2018-07-26T18:15:00Z,TFD,45.05899740235346
1,2018-07-26T18:20:00Z,SFA,0.17374280279298435
1,2018-07-26T18:20:00Z,SFB,0.1326636833357349
1,2018-07-26T18:20:00Z,SFC,0.13964715823929702
1,2018-07-26T18:20:00Z,SFD,0.10825695660126854
1,2018-07-26T18:20:00Z,TFB,45.98740415111109
1,2018-07-26T18:20:00Z,TFD,45.640633039812286
1,2018-07-26T18:25:00Z,SFA,0.17916205334559204
1,2018-07-26T18:25:00Z,SFB,0.13687220875083217
1,2018-07-26T18:25:00Z,SFC,0.14579407691563745
1,2018-07-26T18:25:00Z,SFD,0.11208816250312943
1,2018-07-26T18:25:00Z,TFB,46.672311888058616
1,2018-07-26T18:25:00Z,TFD,46.25856173905472
