dt,site,site2,yield_mm,hobo_event_n,recession_n
2018-09-25T23:15:00Z,TF-D,TF,19.544331890251122,5,TFD_E5_1
2018-09-25T23:20:00Z,TF-D,TF,20.358679052344918,5,TFD_E5_1
2018-09-25T23:25:00Z,TF-D,TF,20.76585263339182,5,TFD_E5_1
2018-09-26T21:35:00Z,TF-D,TF,21.580199795485612,5,TFD_E5_2
2018-09-26T21:40:00Z,TF-D,TF,21.78378658600906,5,TFD_E5_2
2018-09-26T21:45:00Z,TF-D,TF,21.78378658600906,5,TFD_E5_2
2018-09-26T21:50:00Z,TF-D,TF,21.98737337653251,5,TFD_E5_2
2018-09-26T21:55:00Z,TF-D,TF,22.190960167055955,5,TFD_E5_2
2018-09-26T22:00:00Z,TF-D,TF,22.394546957579408,5,TFD_E5_2
2018-09-26T22:05:00Z,TF-D,TF,22.394546957579408,5,TFD_E5_2
2018-09-26T22:10:00Z,TF-D,TF,22.394546957579408,5,TFD_E5_2
2018-09-26T22:15:00Z,TF-D,TF,22.801720538626306,5,TFD_E5_2
2018-09-26T22:20:00Z,TF-D,TF,22.598133748102857,5,TFD_E5_2
2018-09-26T22:25:00Z,TF-D,TF,23.00530732914976,5,TFD_E5_2
2018-09-26T22:30:00Z,TF-D,TF,25.651935605954595,5,TFD_E5_2
2018-09-26T22:35:00Z,TF-D,TF,28.909324254329782,5,TFD_E5_2
2018-09-26T22:40:00Z,TF-D,TF,30.13084499747048,5,TFD_E5_2
2018-09-26T22:45:00Z,TF-D,TF,30.741605369040826,5,TFD_E5_2
2018-09-26T22:50:00Z,TF-D,TF,31.555952531134622,5,TFD_E5_2
2018-09-26T22:55:00Z,TF-D,TF,30.741605369040826,5,TFD_E5_2
2018-09-26T23:00:00Z,TF-D,TF,31.555952531134622,5,TFD_E5_2
2018-09-26T23:05:00Z,TF-D,TF,32.16671290270497,5,TFD_E5_2
2018-09-26T23:10:00Z,TF-D,TF,31.759539321658075,5,TFD_E5_2
2018-09-26T23:15:00Z,TF-D,TF,32.57388648375187,5,TFD_E5_2
2018-09-26T23:20:00Z,TF-D,TF,32.57388648375187,5,TFD_E5_2
2018-09-26T23:25:00Z,TF-D,TF,32.777473274275316,5,TFD_E5_2
2018-09-26T23:30:00Z,TF-D,TF,32.777473274275316,5,TFD_E5_2
2018-09-26T23:35:00Z,TF-D,TF,33.184646855322214,5,TFD_E5_2
2018-09-26T23:40:00Z,TF-D,TF,32.98106006479877,5,TFD_E5_2
2018-09-26T23:45:00Z,TF-D,TF,33.184646855322214,5,TFD_E5_2
2018-09-26T23:50:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-26T23:55:00Z,TF-D,TF,33.184646855322214,5,TFD_E5_2
2018-09-27T00:00:00Z,TF-D,TF,32.777473274275316,5,TFD_E5_2
2018-09-27T00:05:00Z,TF-D,TF,32.777473274275316,5,TFD_E5_2
2018-09-27T00:10:00Z,TF-D,TF,32.98106006479877,5,TFD_E5_2
2018-09-27T00:15:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T00:20:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T00:25:00Z,TF-D,TF,33.184646855322214,5,TFD_E5_2
2018-09-27T00:30:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T00:35:00Z,TF-D,TF,33.184646855322214,5,TFD_E5_2
2018-09-27T00:40:00Z,TF-D,TF,32.98106006479877,5,TFD_E5_2
2018-09-27T00:45:00Z,TF-D,TF,32.98106006479877,5,TFD_E5_2
2018-09-27T00:50:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T00:55:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T01:00:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T01:05:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T01:10:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T01:15:00Z,TF-D,TF,33.184646855322214,5,TFD_E5_2
2018-09-27T01:20:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T01:25:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T01:30:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T01:35:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T01:40:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T01:45:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T01:50:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T01:55:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T02:00:00Z,TF-D,TF,33.795407226892564,5,TFD_E5_2
2018-09-27T02:05:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T02:10:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T02:15:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T02:20:00Z,TF-D,TF,33.388233645845666,5,TFD_E5_2
2018-09-27T02:25:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T02:30:00Z,TF-D,TF,33.59182043636912,5,TFD_E5_2
2018-09-27T02:35:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T02:40:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T02:45:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T02:50:00Z,TF-D,TF,34.406167598462915,5,TFD_E5_2
2018-09-27T02:55:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
2018-09-27T03:00:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T03:05:00Z,TF-D,TF,33.99899401741602,5,TFD_E5_2
2018-09-27T03:10:00Z,TF-D,TF,34.20258080793946,5,TFD_E5_2
